Organization Name,City,Address,Latitude,Longitude,Province/State,Sector/Type,Services Offered,Website,Email Address,Phone Number,Contact Name,Notes
SCORE Ann Arbor,"Ann Arbor, MI","1100 N Main St Ste 109, Ann Arbor, MI 48104",42.2939,-83.7467,MI,Entrepreneurship/Small Business/Non-Profit Support,"Free mentorship, business planning, SBA partner",https://www.score.org/annarborarea,,1-800-634-0245,,"Experienced entrepreneurs, corporate managers, and executives with diverse backgrounds and specialties. All advice is completely confidential."
University of Michigan's Innovation Partnerships,"Ann Arbor, MI","1600 Huron Pkwy, Building 520, 2nd Floor, Ann Arbor, MI 48109-2590",42.3009,-83.7033,MI,Educational Institution / Research and Commercialization,"Innovation, Research commercialization, startups, Commercialization, Licensing",https://innovationpartnerships.umich.edu/,kbsexton@umich.edu,734.763.0614,Kelly Sexton,"Exists to serve great minds nad maximize the potential of their ideas, their discoveries, and their inventions."
Arboretum Ventures,"Ann Arbor, MI","201 S Main St., 3rd Floor, Ann Arbor, MI 48104",42.280293,-83.748186,MI,VC and Funding,"Medtech, Diagnostics, Healthcare IT",https://www.arboretumvc.com/,info@arboretumvc.com,734.998.3689,,"Seed, Series A, Series B. A healthcare venture capital firm rooted in the Midwest."
University of Michigan's Life Sciences Institute,"Ann Arbor, MI","210 Washtenaw Ave, Ann Arbor, MI 48109, United States",42.27921,-83.73359,MI,Educational Institution / Research and Commercialization,"Life sciences, Biotechnology, Health tech",https://www.lsi.umich.edu/,andyalt@umich.edu,734 763-2340,"Andrew Alt, Ph.D.","Undergrads, graduate students, and postdocs Explores biological processes, structures, and functions at the finest scale to create impact on a global scale."
University of Michigan's M-City,"Ann Arbor, MI","2905 Baxter Road, Ann Arbor, MI 48109-2150",42.302,-83.705,MI,Educational Institution / Research and Commercialization,"Mobility, Autonomous vehicles, Smart cities. Industry, government, academica",https://mcity.umich.edu/,,(734) 764-2886,,"Hub for research, development, and deployment of mobility innovations."
National Center for Manufacturing Sciences (NCMS),"Ann Arbor, MI","3025 Boardwalk, Ann Arbor, MI 48108",42.2431,-83.7328,MI,Ecosystem & Business Networks,"Advanced manufacturing, innovation, technology",https://www.ncms.org/,contact@ncms.org,(800) 222-6267,,Brings together highly capable companies with providers and end users who need their innovations and solutions.
MichiganRise,"Ann Arbor, MI","325 E Grand River Ave, Suite 275, East Lansing, MI 48823",42.7346,-84.4808,MI,VC and Funding,"Early stage venture capital funding, startups",https://www.michiganrise.org/,info@michiganrise.com,(517) 884-1564,,Supports Michigan-based technology startups.
Ann Arbor SPARK,"Ann Arbor, MI","330 E Liberty St, Ann Arbor, MI 48104",42.2796,-83.7454,MI,Economic Development,"Startup support, tech incubation, business expansion",https://annarborusa.org/,phil@annarborusa.org,,Phil Santer,"Startup support, tech incubation, business expansion"
Amherst Fund,"Ann Arbor, MI","401 E Stadium Blvd, Ann Arbor, MI 48104",42.2769,-83.741,MI,VC and Funding,"Early stage VC investments, Later stage private quity investments",http://www.amherstfund.com/,info@amherstfund.com,7346622102,,Currently not considering new investments in privately held ventures.
"Therapeutic Systems Research Laboratories (TSRL), Inc.","Ann Arbor, MI","540 Avis Dr, Ann Arbor, MI 48108, United States",42.2226,-83.7263,MI,Educational Institution / Research and Commercialization,"Medical innovation, biotech",https://www.tsrlinc.com/,bd@tsrlinc.com,7346634423,,"Private, preclinical accelerator."
