contact_email,contact_phone,deadline,description,location,organization_email,organization_id,organization_name,organization_phone,program_name,scraped_at,source_url,start_date,target_audience,website
,,November,,,info@webusinesscentre.com,330,Small Business & Entrepreneurship Centre,519-253-6900,Tourism Windsor Essex Pelee Island Launches The 7th Annual Holiday Gift Guide,2025-11-12T16:05:52.985155,https://www.webusinesscentre.com/,,,https://www.webusinesscentre.com/tourism-windsor-essex-pelee-island-launches-the-7th-annual-holiday-gift-guide/
,,September,,,info@webusinesscentre.com,330,Small Business & Entrepreneurship Centre,519-253-6900,Ontario Boosting Training for Entrepreneurs,2025-11-12T16:05:52.987494,https://www.webusinesscentre.com/,,,https://www.webusinesscentre.com/ontario-boosting-training-for-entrepreneurs/
,,August,,,info@webusinesscentre.com,330,Small Business & Entrepreneurship Centre,519-253-6900,Ontario Investing $2 Million to Help Young Entrepreneurs Start and Grow Businesses,2025-11-12T16:05:52.988768,https://www.webusinesscentre.com/,,,https://www.webusinesscentre.com/ontario-investing-2-million-to-help-young-entrepreneurs-start-and-grow-businesses/
,,,- Dr. Dhillon (Director Research and Innovation),,kdhillon@stclaircollege.ca,331,St. Clair College Centre for Applied Research and Innovation (CARI),519-966-1656 x. 4182,Home,2025-11-12T16:05:54.353009,https://www.stclairresearch.ca/,,,https://dev-st-clair-research-and-innovation.pantheonsite.io/team-member/dr-karamjeet-dhillon/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,Plan “Bee” Pivots | How Tech Connect: Haunted Piston Edition Became a Masterclass in Agility,2025-11-12T16:06:27.347867,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/blog/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,Hult Prize Launches at UWindsor with New Campus Director Appointment,2025-11-12T16:06:27.349341,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/opportunity-alerts/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,Women of WIFF: When Entrepreneurship Takes Centre Stage,2025-11-12T16:06:27.350697,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/blog/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,"Crossing Borders, Building Futures: Reflections from the Downtown Detroit Partnership Fall Forum",2025-11-12T16:06:27.352050,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/blog/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,Windsor-Essex DevFest 2025 to Unite the Region’s Tech Community,2025-11-12T16:06:27.353428,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/tech-news/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,"Downtown Detroit Partnership Hosts Fall Forum: Special Edition, featuring binational leaders across Detroit and Windsor, Oct. 15",2025-11-12T16:06:27.354773,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/innovation-news/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,"WEtech Alliance provides 12 companies with up to $240,000 through Cohort 4 of Government of Canada-funded i.d.e.a. Fund™",2025-11-12T16:06:27.356057,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/client-news/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,Powering Sustainable Innovation: Handy Bros’ Journey with WEtech and the i.d.e.a. Fund™,2025-11-12T16:06:27.357370,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/client-news/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,Annual Impact Report: April 2024 – March 2025,2025-11-12T16:06:27.358786,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/impact/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,A New Chapter of Growth and Innovation,2025-11-12T16:06:27.360124,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/client-news/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,Welcoming New Leaders to WEtech Alliance’s Board for 2025–2026,2025-11-12T16:06:27.361386,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/tech-news/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,"Scaling Up, Together",2025-11-12T16:06:27.362611,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/category/blog/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,BIZconneCKt | November Networking event,2025-11-12T16:06:27.363857,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/event/bizconneckt-november-networking-event/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,Leamington Business After Hours with Frank Abbruzzese,2025-11-12T16:06:27.364470,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/event/leamington-business-after-hours-with-frank-abbruzzese/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,Unlock Growth & Productivity for Manufacturers,2025-11-12T16:06:27.365071,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/event/unlock-growth-productivity-for-manufacturers/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,Inclusive by Design Virtual Workshop,2025-11-12T16:06:27.365682,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/event/inclusive-by-design-virtual-workshop/
,,,,,ypilon@wetech-alliance.com,333,WEtech Alliance,519-819-8254,Building AI Capacity: Overcoming Barriers to Address SME Skills Shortages,2025-11-12T16:06:27.366305,https://wetech-alliance.com/,,,https://www.wetech-alliance.com/event/building-ai-capacity-overcoming-barriers-to-address-sme-skills-shortages-2/
,,October,,,mdumouchel@windsoressexchamber.org,334,Windsor-Essex Regional Chamber of Commerce,519-966-3696 x. 230,The Windsor Essex Chamber of Commerce Welcomes Plantscape Windsor as New Affinity Partner,2025-11-12T16:06:32.302292,https://wechamber.org/,,,https://www.windsoressexchamber.org/new-affinity-partner-plantscape/
,,July,,,mdumouchel@windsoressexchamber.org,334,Windsor-Essex Regional Chamber of Commerce,519-966-3696 x. 230,The Windsor Essex Chamber of Commerce Welcomes Avis as New Affinity Partner,2025-11-12T16:06:32.302753,https://wechamber.org/,,,https://www.windsoressexchamber.org/avis-affinity-partner/
,,May,,,mdumouchel@windsoressexchamber.org,334,Windsor-Essex Regional Chamber of Commerce,519-966-3696 x. 230,2025 Business Excellence Awards – Award Recipients,2025-11-12T16:06:32.303162,https://wechamber.org/,,,https://www.windsoressexchamber.org/2025-business-excellence-awards-award-recipients/
info@hackf.org,,,"info@hackf.org888-960-7641 ext. 4300 Ouellette Ave, Unit 210",,info@hackf.org,335,Hackforge,888-960-7641 x. 4,Contact,2025-11-12T16:06:34.335666,https://www.hackf.org/,,,mailto:info@hackf.org
,,,,,info@hackf.org,335,Hackforge,888-960-7641 x. 4,What I Learned Building My Own AI Agent: An Evening with Doug Sartori,2025-11-12T16:06:34.343863,https://www.hackf.org/,,,https://www.hackf.org/event/building-my-own-ai-agent/
,,,,,info@automatecanada.ca,337,Automate Canada,519-817-6260,Don't miss our industry updates!,2025-11-12T16:06:39.896429,https://www.automatecanada.com/,,,https://www.automatecanada.ca/automate-canada-magazine/
